Player,FPM,Usage,Momentum,FP,Minutes,ClutchFP,ClutchRatio,TouchesPerMin,ThreeRate,ScoringFrequency,ScoringConsistency,DominantQuarter,LateGameEmphasis,Substitutions,StarterOrStuffer
Stephon Castle,1.4428571428571428,0.8857142857142857,0.0,50.5,35.0,6.25,0.12376237623762376,0.6857142857142857,0.2857142857142857,0.34285714285714286,0.20235965210102752,2,0.08333333333333333,2.0,1
Taurean Prince,0.6666666666666666,0.6111111111111112,0.0,12.0,18.0,0.0,0.0,0.5555555555555556,1.0,0.3333333333333333,0.06556111226366393,2,0.3333333333333333,2.0,0
Thanasis Antetokounmpo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Tidjane Salaun,0.2857142857142857,0.14285714285714285,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0
Trayce Jackson-Davis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Tre Johnson,0.6388888888888888,0.48148148148148145,0.0,17.25,27.0,4.75,0.2753623188405797,0.48148148148148145,0.75,0.18518518518518517,0.054723458742204974,1,0.4,4.0,0
Tre Mann,0.6875,0.6875,0.0,11.0,16.0,0.0,0.0,0.8125,0.6,0.25,0.09598588289915345,1,0.25,3.0,0
Tristan Vukcevic,1.4375,1.0,0.0,5.75,4.0,4.5,0.782608695652174,0.5,0.0,0.5,1.0,4,1.0,1.0,1
Tristan da Silva,1.3977272727272727,1.0,0.0,30.75,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0
Tyus Jones,0.5357142857142857,0.35714285714285715,0.0,7.5,14.0,0.0,0.0,0.2857142857142857,1.0,0.14285714285714285,1.0,2,0.5,3.0,0
Victor Wembanyama,1.7375,0.9,0.0,69.5,40.0,12.25,0.17625899280575538,0.9,0.2857142857142857,0.4,0.1660005863922757,2,0.25,5.0,0
Wendell Carter Jr.,1.3148148148148149,0.8148148148148148,0.0,35.5,27.0,8.25,0.2323943661971831,0.6296296296296297,0.5,0.3333333333333333,0.06323726373618388,1,0.2222222222222222,3.0,0
Will Richard,1.0833333333333333,0.6666666666666666,0.0,13.0,12.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0954101057681,2,0.25,2.0,1
Will Riley,0.7,0.6,0.0,3.5,5.0,3.5,1.0,0.4,0.0,0.2,0.0,4,1.0,1.0,1
